,Topics,Alpha,Beta,Auto Coherence Umass,Intra/Inter Similarity word2vec10 1st version,Intra/Inter Similarity word2vec20 1st version,Intra/Inter Similarity word2vecGoogle 1st version,Intra/Inter Similarity word2vec10 2nd version,Intra/Inter Similarity word2vec20 2nd version,Intra/Inter Similarity word2vecGoogle 2nd version,NumberOfWordsNotInGoogleW2v,Topic Distance JS,Auto Coherence without pretrained,Auto Coherence with word2vec10,Auto Coherence with word2vec20,Auto Coherence with word2vecGoogle
35,18,symmetric,symmetric,-3.100691759749163,1.1806209137543475,1.1750221614396834,0.723641670294593,1.0933163353317386,1.0881777487564712,1.0091563436144582,"(5, 256)",0.7906654665074433,0.72417337,0.49295345,0.4767589,0.614321
36,18,asymmetric,0.01,-3.0292179637767536,1.2027940399499095,1.197454662665549,0.7202697209624228,1.0966819595969148,1.0914352063222423,1.008207667727692,"(5, 266)",0.7918633049027286,0.725186,0.4945432,0.4787627,0.6062485
37,18,asymmetric,0.31,-2.8539651246749456,1.191558743573188,1.1843575418814782,0.7262091129475177,1.0983085403271453,1.092550402566807,1.0088620228292542,"(5, 250)",0.7846284701902791,0.73439026,0.5061018,0.4886523,0.6153728
38,18,asymmetric,0.61,-2.7195098170306773,1.2045597944530613,1.1964341530693712,0.7167060579307335,1.0992869473090798,1.09321590041656,1.007878402948466,"(0, 261)",0.7855170497449842,0.72980446,0.50192934,0.484845,0.59668195
39,18,asymmetric,symmetric,-2.817183069840324,1.2159905076359006,1.2089852910326804,0.7166902703767136,1.0993235545882163,1.0935157894932348,1.007216514030666,"(0, 267)",0.7931528828522726,0.7262157,0.49840954,0.48193657,0.60192853
40,20,0.01,0.01,-3.119399710871513,1.2060855631542782,1.1969394183216888,0.7269294232391532,1.0985064086393814,1.0925643212981635,1.0094432888369749,"(6, 301)",0.7984423202393383,0.72620994,0.4989952,0.48199144,0.6130546
41,20,0.01,0.31,-2.9426206720104444,1.2000974808531364,1.1917295172506197,0.7271383442759434,1.0968014804909083,1.0908984081858917,1.010160730487155,"(5, 284)",0.7904648593847619,0.72897017,0.49937215,0.482121,0.6111268
42,20,0.01,0.61,-2.977094782334992,1.2085968439282917,1.1981643986407031,0.7297064488700443,1.0994276241160357,1.093039389475662,1.0101053581155484,"(5, 281)",0.7902072530157398,0.73357564,0.5026775,0.48471227,0.61416835
43,20,0.01,symmetric,-3.0049128567933017,1.2222265421797651,1.2124393190721772,0.7245318470163593,1.1022235259249966,1.095883624490137,1.0091571226792044,"(5, 292)",0.7965789691347112,0.73392546,0.50672835,0.4892733,0.6090995
44,20,0.31,0.01,-3.0121513782022484,1.2114809029106757,1.2067429278753832,0.7194931295580008,1.0988615303477782,1.093578057025305,1.0074443922907126,"(3, 307)",0.8074014724288174,0.7273834,0.4987401,0.48337227,0.6090595
45,20,0.31,0.31,-2.8176014842275103,1.2022416876776976,1.196506270651887,0.7198200540473285,1.096322846728209,1.0907906533034104,1.007550603866579,"(0, 292)",0.8028246940586039,0.72700924,0.49520335,0.47881708,0.60985446
46,20,0.31,0.61,-3.051875961001542,1.2250988183320966,1.217653259099682,0.7210611529319616,1.1022210529365024,1.0967995628571994,1.0084433510026878,"(5, 303)",0.8023227960685018,0.7245351,0.5036435,0.48841724,0.6116877
47,20,0.31,symmetric,-3.0157201690581554,1.2146281592676422,1.2061203203294235,0.7185648714418146,1.099853234869556,1.0943241323201562,1.0082962716813544,"(5, 309)",0.8057948533194691,0.7276057,0.49926943,0.484066,0.60441345
48,20,0.61,0.01,-2.95574646351442,1.2244541191989176,1.2191546187190363,0.7231333605303214,1.103717778163647,1.0982289670103975,1.008068105939799,"(0, 337)",0.8150583483456658,0.73541087,0.5034098,0.48850656,0.6135244
49,20,0.61,0.31,-3.035839354284914,1.2276336908968806,1.2221654222261686,0.725031267170425,1.102511710837725,1.0969717750403036,1.0084964096421012,"(0, 347)",0.816954848320831,0.73069656,0.4993835,0.4849903,0.6170905
50,20,0.61,0.61,-2.9805289458723814,1.2477241504362306,1.2388500538627432,0.7283191301469113,1.1094978255160322,1.1029063475323428,1.0088954501070566,"(0, 349)",0.8158260594344507,0.7339328,0.51538855,0.49914154,0.62065524
